date_of_infraction,infraction_code,infraction_description,set_fine_amount,location2
20220101,3,PARK ON PRIVATE PROPERTY,30,2650 LAWRENCE AVE E
20220101,3,PARK ON PRIVATE PROPERTY,30,21 ICEBOAT TER
20220101,3,PARK ON PRIVATE PROPERTY,30,21 ICEBOAT TER
20220101,3,PARK ON PRIVATE PROPERTY,30,56 FOREST MANOR RD
20220101,3,PARK ON PRIVATE PROPERTY,30,25 SAN ROMANOWAY
20220101,3,PARK ON PRIVATE PROPERTY,30,2040 DON MILLS RD
20220101,3,PARK ON PRIVATE PROPERTY,30,21 ICEBOAT TER
20220101,3,PARK ON PRIVATE PROPERTY,30,21 ICEBOAT TER
20220101,3,PARK ON PRIVATE PROPERTY,30,25 SAN ROMANOWAY
20220101,3,PARK ON PRIVATE PROPERTY,30,2 BRAHMS AVE
20220101,3,PARK ON PRIVATE PROPERTY,30,21 ICEBOAT TER
20220101,3,PARK ON PRIVATE PROPERTY,30,21 ICEBOAT TER
20220101,3,PARK ON PRIVATE PROPERTY,30,21 ICEBOAT TER
20220101,3,PARK ON PRIVATE PROPERTY,30,21 ICEBOAT TER
20220101,3,PARK ON PRIVATE PROPERTY,30,21 ICEBOAT TER
20220101,3,PARK ON PRIVATE PROPERTY,30,21 ICEBOAT TER
20220101,3,PARK ON PRIVATE PROPERTY,30,21 ICEBOAT TER
20220101,3,PARK ON PRIVATE PROPERTY,30,21 ICEBOAT TER
20220101,3,PARK ON PRIVATE PROPERTY,30,21 ICEBOAT TER
20220101,3,PARK ON PRIVATE PROPERTY,30,21 ICEBOAT TER
20220101,3,PARK ON PRIVATE PROPERTY,30,21 ICEBOAT TER
20220101,3,PARK ON PRIVATE PROPERTY,30,21 ICEBOAT TER
20220101,3,PARK ON PRIVATE PROPERTY,30,21 ICEBOAT TER
20220101,3,PARK ON PRIVATE PROPERTY,30,21 ICEBOAT TER
20220101,3,PARK ON PRIVATE PROPERTY,30,15 ICEBOAT TER
20220101,3,PARK ON PRIVATE PROPERTY,30,15 ICEBOAT TER
20220101,3,PARK ON PRIVATE PROPERTY,30,525 WILSON AVE
20220101,3,PARK ON PRIVATE PROPERTY,30,15 ICEBOAT TER
20220101,3,PARK ON PRIVATE PROPERTY,30,17 ZORRA ST
20220101,3,PARK ON PRIVATE PROPERTY,30,15 ICEBOAT TER
20220101,3,PARK ON PRIVATE PROPERTY,30,525 WILSON AVE
20220101,3,PARK ON PRIVATE PROPERTY,30,17 ZORRA ST
20220101,3,PARK ON PRIVATE PROPERTY,30,15 ICEBOAT TER
20220101,3,PARK ON PRIVATE PROPERTY,30,15 ICEBOAT TER
20220101,3,PARK ON PRIVATE PROPERTY,30,15 ICEBOAT TER
20220101,3,PARK ON PRIVATE PROPERTY,30,15 ICEBOAT TER
20220101,3,PARK ON PRIVATE PROPERTY,30,15 ZORRA ST
20220101,3,PARK ON PRIVATE PROPERTY,30,15 ICEBOAT TER
20220101,3,PARK ON PRIVATE PROPERTY,30,15 ICEBOAT TER
20220101,3,PARK ON PRIVATE PROPERTY,30,55 BREMNER BLVD
20220101,3,PARK ON PRIVATE PROPERTY,30,175 ALEXMUIR BLVD
20220101,3,PARK ON PRIVATE PROPERTY,30,195 ALEXMUIR BLVD
20220101,3,PARK ON PRIVATE PROPERTY,30,35 VIKING LANE
20220101,3,PARK ON PRIVATE PROPERTY,30,35 VIKING LANE
20220101,3,PARK ON PRIVATE PROPERTY,30,35 VIKING LANE
20220101,3,PARK ON PRIVATE PROPERTY,30,35 VIKING LANE
20220101,3,PARK ON PRIVATE PROPERTY,30,120 HARRISON GARDEN BLVD
20220101,3,PARK ON PRIVATE PROPERTY,30,120 HARRISON GARDEN BLVD
20220101,3,PARK ON PRIVATE PROPERTY,30,120 HARRISON GARDEN BLVD
20220101,3,PARK ON PRIVATE PROPERTY,30,25 FONTENAY CRT
20220101,3,PARK ON PRIVATE PROPERTY,30,35 VIKING LANE
20220101,3,PARK ON PRIVATE PROPERTY,30,88 COLGATE AVE
20220101,3,PARK ON PRIVATE PROPERTY,30,88 COLGATE AVE
20220101,3,PARK ON PRIVATE PROPERTY,30,832 BAY ST
20220101,3,PARK ON PRIVATE PROPERTY,30,85 EMMETT AVE
20220101,3,PARK ON PRIVATE PROPERTY,30,1346 DANFORTH RD
20220101,3,PARK ON PRIVATE PROPERTY,30,300 FRONT ST W
